,2020-09-01,2020-10-01,2020-11-01
Klickitat_Washington_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Kleberg_Texas_UnitedStates.NYT_ConfirmedCases.data,1003.0,1031.0,0.0
Kleberg_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Kitsap_Washington_UnitedStates.NYT_ConfirmedCases.data,1223.0,1492.0,0.0
Kitsap_Washington_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
KitCarson_Colorado_UnitedStates.NYT_ConfirmedCases.data,80.0,107.0,0.0
KitCarson_Colorado_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Kittson_Minnesota_UnitedStates.NYT_ConfirmedCases.data,14.0,49.0,0.0
Kittson_Minnesota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Knox_Illinois_UnitedStates.NYT_ConfirmedCases.data,704.0,1418.0,0.0
Knox_Illinois_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Klamath_Oregon_UnitedStates.NYT_ConfirmedCases.data,290.0,431.0,0.0
Klamath_Oregon_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Kittitas_Washington_UnitedStates.NYT_ConfirmedCases.data,543.0,725.0,0.0
Kittitas_Washington_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Kiowa_Oklahoma_UnitedStates.NYT_ConfirmedCases.data,78.0,178.0,0.0
Kiowa_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Knott_Kentucky_UnitedStates.NYT_ConfirmedCases.data,214.0,376.0,0.0
Knott_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Knox_Indiana_UnitedStates.NYT_ConfirmedCases.data,545.0,941.0,0.0
Knox_Indiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Knox_Ohio_UnitedStates.NYT_ConfirmedCases.data,293.0,463.0,0.0
Knox_Ohio_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Knox_Kentucky_UnitedStates.NYT_ConfirmedCases.data,515.0,909.0,0.0
Knox_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Knox_Maine_UnitedStates.NYT_ConfirmedCases.data,41.0,78.0,0.0
Knox_Maine_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Knox_Texas_UnitedStates.NYT_ConfirmedCases.data,95.0,114.0,0.0
Knox_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
KodiakIsland_Alaska_UnitedStates.NYT_ConfirmedCases.data,68.0,120.0,0.0
KodiakIsland_Alaska_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Knox_Nebraska_UnitedStates.NYT_ConfirmedCases.data,180.0,278.0,0.0
Knox_Nebraska_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Koochiching_Minnesota_UnitedStates.NYT_ConfirmedCases.data,123.0,183.0,0.0
Koochiching_Minnesota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Knox_Tennessee_UnitedStates.NYT_ConfirmedCases.data,10314.0,13687.0,0.0
Knox_Tennessee_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Knox_Missouri_UnitedStates.NYT_ConfirmedCases.data,53.0,64.0,0.0
Knox_Missouri_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Kosciusko_Indiana_UnitedStates.NYT_ConfirmedCases.data,1321.0,2320.0,0.0
Kosciusko_Indiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Kusilvak_Alaska_UnitedStates.NYT_ConfirmedCases.data,0.0,0.0,0.0
Kusilvak_Alaska_UnitedStates.NYT_ConfirmedCases.missing,100,100,100
Kootenai_Idaho_UnitedStates.NYT_ConfirmedCases.data,2734.0,4410.0,0.0
Kootenai_Idaho_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LaCrosse_Wisconsin_UnitedStates.NYT_ConfirmedCases.data,3278.0,4347.0,0.0
LaCrosse_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LaGrange_Indiana_UnitedStates.NYT_ConfirmedCases.data,653.0,832.0,0.0
LaGrange_Indiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LaMoure_NorthDakota_UnitedStates.NYT_ConfirmedCases.data,68.0,175.0,0.0
LaMoure_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LaPorte_Indiana_UnitedStates.NYT_ConfirmedCases.data,1536.0,2492.0,0.0
LaPorte_Indiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Kossuth_Iowa_UnitedStates.NYT_ConfirmedCases.data,290.0,510.0,0.0
Kossuth_Iowa_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LaPaz_Arizona_UnitedStates.NYT_ConfirmedCases.data,545.0,627.0,0.0
LaPaz_Arizona_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LaPlata_Colorado_UnitedStates.NYT_ConfirmedCases.data,263.0,347.0,0.0
LaPlata_Colorado_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lafayette_Arkansas_UnitedStates.NYT_ConfirmedCases.data,117.0,155.0,0.0
Lafayette_Arkansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LacquiParle_Minnesota_UnitedStates.NYT_ConfirmedCases.data,72.0,147.0,0.0
LacquiParle_Minnesota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LaSalle_Louisiana_UnitedStates.NYT_ConfirmedCases.data,426.0,517.0,0.0
LaSalle_Louisiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LaSalle_Illinois_UnitedStates.NYT_ConfirmedCases.data,1758.0,2652.0,0.0
LaSalle_Illinois_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lafayette_Florida_UnitedStates.NYT_ConfirmedCases.data,1234.0,1279.0,0.0
Lafayette_Florida_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lafayette_Louisiana_UnitedStates.NYT_ConfirmedCases.data,8982.0,9380.0,0.0
Lafayette_Louisiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Labette_Kansas_UnitedStates.NYT_ConfirmedCases.data,246.0,397.0,0.0
Labette_Kansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Laclede_Missouri_UnitedStates.NYT_ConfirmedCases.data,700.0,1252.0,0.0
Laclede_Missouri_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lackawanna_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data,2594.0,3780.0,0.0
Lackawanna_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LaSalle_Texas_UnitedStates.NYT_ConfirmedCases.data,366.0,381.0,0.0
LaSalle_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lafayette_Wisconsin_UnitedStates.NYT_ConfirmedCases.data,315.0,540.0,0.0
Lafayette_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lafayette_Missouri_UnitedStates.NYT_ConfirmedCases.data,552.0,896.0,0.0
Lafayette_Missouri_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lake_Michigan_UnitedStates.NYT_ConfirmedCases.data,35.0,68.0,0.0
Lake_Michigan_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lake_Florida_UnitedStates.NYT_ConfirmedCases.data,7542.0,8680.0,0.0
Lake_Florida_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lake_Illinois_UnitedStates.NYT_ConfirmedCases.data,17171.0,20630.0,0.0
Lake_Illinois_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lake_California_UnitedStates.NYT_ConfirmedCases.data,566.0,700.0,0.0
Lake_California_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lake_Indiana_UnitedStates.NYT_ConfirmedCases.data,10834.0,15786.0,0.0
Lake_Indiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lafourche_Louisiana_UnitedStates.NYT_ConfirmedCases.data,3683.0,3871.0,0.0
Lafourche_Louisiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lafayette_Mississippi_UnitedStates.NYT_ConfirmedCases.data,2212.0,2602.0,0.0
Lafayette_Mississippi_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lake_Colorado_UnitedStates.NYT_ConfirmedCases.data,98.0,143.0,0.0
Lake_Colorado_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LakeoftheWoods_Minnesota_UnitedStates.NYT_ConfirmedCases.data,24.0,49.0,0.0
LakeoftheWoods_Minnesota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lake_Minnesota_UnitedStates.NYT_ConfirmedCases.data,61.0,126.0,0.0
Lake_Minnesota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lamar_Alabama_UnitedStates.NYT_ConfirmedCases.data,382.0,525.0,0.0
Lamar_Alabama_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LakeandPeninsula_Alaska_UnitedStates.NYT_ConfirmedCases.data,0.0,0.0,0.0
LakeandPeninsula_Alaska_UnitedStates.NYT_ConfirmedCases.missing,100,100,100
Lamar_Georgia_UnitedStates.NYT_ConfirmedCases.data,372.0,514.0,0.0
Lamar_Georgia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lake_Oregon_UnitedStates.NYT_ConfirmedCases.data,34.0,47.0,0.0
Lake_Oregon_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lake_SouthDakota_UnitedStates.NYT_ConfirmedCases.data,201.0,362.0,0.0
Lake_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lake_Tennessee_UnitedStates.NYT_ConfirmedCases.data,928.0,997.0,0.0
Lake_Tennessee_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lake_Montana_UnitedStates.NYT_ConfirmedCases.data,284.0,585.0,0.0
Lake_Montana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lake_Ohio_UnitedStates.NYT_ConfirmedCases.data,1671.0,2294.0,0.0
Lake_Ohio_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lamar_Mississippi_UnitedStates.NYT_ConfirmedCases.data,1762.0,2380.0,0.0
Lamar_Mississippi_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lander_Nevada_UnitedStates.NYT_ConfirmedCases.data,74.0,110.0,0.0
Lander_Nevada_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lamoille_Vermont_UnitedStates.NYT_ConfirmedCases.data,59.0,63.0,0.0
Lamoille_Vermont_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lancaster_Virginia_UnitedStates.NYT_ConfirmedCases.data,151.0,204.0,0.0
Lancaster_Virginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lamar_Texas_UnitedStates.NYT_ConfirmedCases.data,1220.0,1874.0,0.0
Lamar_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lampasas_Texas_UnitedStates.NYT_ConfirmedCases.data,261.0,304.0,0.0
Lampasas_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lamb_Texas_UnitedStates.NYT_ConfirmedCases.data,337.0,538.0,0.0
Lamb_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lancaster_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data,2182.0,2580.0,0.0
Lancaster_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lancaster_Nebraska_UnitedStates.NYT_ConfirmedCases.data,6532.0,9413.0,0.0
Lancaster_Nebraska_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lancaster_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data,7993.0,9877.0,0.0
Lancaster_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Laramie_Wyoming_UnitedStates.NYT_ConfirmedCases.data,718.0,1745.0,0.0
Laramie_Wyoming_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lane_Oregon_UnitedStates.NYT_ConfirmedCases.data,1293.0,2467.0,0.0
Lane_Oregon_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lane_Kansas_UnitedStates.NYT_ConfirmedCases.data,14.0,24.0,0.0
Lane_Kansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lanier_Georgia_UnitedStates.NYT_ConfirmedCases.data,296.0,362.0,0.0
Lanier_Georgia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Larue_Kentucky_UnitedStates.NYT_ConfirmedCases.data,160.0,351.0,0.0
Larue_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lapeer_Michigan_UnitedStates.NYT_ConfirmedCases.data,943.0,1288.0,0.0
Lapeer_Michigan_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Larimer_Colorado_UnitedStates.NYT_ConfirmedCases.data,2636.0,4071.0,0.0
Larimer_Colorado_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Langlade_Wisconsin_UnitedStates.NYT_ConfirmedCases.data,222.0,889.0,0.0
Langlade_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LasAnimas_Colorado_UnitedStates.NYT_ConfirmedCases.data,25.0,85.0,0.0
LasAnimas_Colorado_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lassen_California_UnitedStates.NYT_ConfirmedCases.data,741.0,766.0,0.0
Lassen_California_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Laurens_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data,1688.0,1917.0,0.0
Laurens_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lawrence_Alabama_UnitedStates.NYT_ConfirmedCases.data,636.0,916.0,0.0
Lawrence_Alabama_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lavaca_Texas_UnitedStates.NYT_ConfirmedCases.data,988.0,1180.0,0.0
Lavaca_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Latah_Idaho_UnitedStates.NYT_ConfirmedCases.data,536.0,945.0,0.0
Latah_Idaho_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Latimer_Oklahoma_UnitedStates.NYT_ConfirmedCases.data,139.0,213.0,0.0
Latimer_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lauderdale_Alabama_UnitedStates.NYT_ConfirmedCases.data,1759.0,2437.0,0.0
Lauderdale_Alabama_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Laurel_Kentucky_UnitedStates.NYT_ConfirmedCases.data,947.0,1272.0,0.0
Laurel_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Laurens_Georgia_UnitedStates.NYT_ConfirmedCases.data,1661.0,2319.0,0.0
Laurens_Georgia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lauderdale_Mississippi_UnitedStates.NYT_ConfirmedCases.data,2078.0,2653.0,0.0
Lauderdale_Mississippi_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lauderdale_Tennessee_UnitedStates.NYT_ConfirmedCases.data,1017.0,1495.0,0.0
Lauderdale_Tennessee_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lawrence_Ohio_UnitedStates.NYT_ConfirmedCases.data,690.0,1070.0,0.0
Lawrence_Ohio_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lawrence_Missouri_UnitedStates.NYT_ConfirmedCases.data,670.0,1105.0,0.0
Lawrence_Missouri_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lawrence_SouthDakota_UnitedStates.NYT_ConfirmedCases.data,428.0,1021.0,0.0
Lawrence_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lawrence_Kentucky_UnitedStates.NYT_ConfirmedCases.data,57.0,153.0,0.0
Lawrence_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lawrence_Indiana_UnitedStates.NYT_ConfirmedCases.data,532.0,1024.0,0.0
Lawrence_Indiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lawrence_Mississippi_UnitedStates.NYT_ConfirmedCases.data,439.0,570.0,0.0
Lawrence_Mississippi_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lawrence_Illinois_UnitedStates.NYT_ConfirmedCases.data,263.0,362.0,0.0
Lawrence_Illinois_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lawrence_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data,531.0,947.0,0.0
Lawrence_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lawrence_Arkansas_UnitedStates.NYT_ConfirmedCases.data,461.0,873.0,0.0
Lawrence_Arkansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lawrence_Tennessee_UnitedStates.NYT_ConfirmedCases.data,1108.0,1707.0,0.0
Lawrence_Tennessee_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Leavenworth_Kansas_UnitedStates.NYT_ConfirmedCases.data,2258.0,2687.0,0.0
Leavenworth_Kansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LeFlore_Oklahoma_UnitedStates.NYT_ConfirmedCases.data,1175.0,1737.0,0.0
LeFlore_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lea_NewMexico_UnitedStates.NYT_ConfirmedCases.data,1497.0,2312.0,0.0
Lea_NewMexico_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Leake_Mississippi_UnitedStates.NYT_ConfirmedCases.data,965.0,1181.0,0.0
Leake_Mississippi_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lee_Alabama_UnitedStates.NYT_ConfirmedCases.data,6017.0,6702.0,0.0
Lee_Alabama_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lee_Florida_UnitedStates.NYT_ConfirmedCases.data,20515.0,22479.0,0.0
Lee_Florida_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lee_Georgia_UnitedStates.NYT_ConfirmedCases.data,700.0,822.0,0.0
Lee_Georgia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LeSueur_Minnesota_UnitedStates.NYT_ConfirmedCases.data,480.0,687.0,0.0
LeSueur_Minnesota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lebanon_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data,2078.0,3193.0,0.0
Lebanon_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lee_Arkansas_UnitedStates.NYT_ConfirmedCases.data,1065.0,1113.0,0.0
Lee_Arkansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lee_Mississippi_UnitedStates.NYT_ConfirmedCases.data,2935.0,3708.0,0.0
Lee_Mississippi_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lee_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data,1671.0,1987.0,0.0
Lee_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Leflore_Mississippi_UnitedStates.NYT_ConfirmedCases.data,1438.0,1632.0,0.0
Leflore_Mississippi_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lee_Kentucky_UnitedStates.NYT_ConfirmedCases.data,18.0,186.0,0.0
Lee_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lee_Virginia_UnitedStates.NYT_ConfirmedCases.data,280.0,536.0,0.0
Lee_Virginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Leelanau_Michigan_UnitedStates.NYT_ConfirmedCases.data,115.0,144.0,0.0
Leelanau_Michigan_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lee_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data,720.0,786.0,0.0
Lee_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lee_Texas_UnitedStates.NYT_ConfirmedCases.data,228.0,245.0,0.0
Lee_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lee_Illinois_UnitedStates.NYT_ConfirmedCases.data,394.0,769.0,0.0
Lee_Illinois_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lee_Iowa_UnitedStates.NYT_ConfirmedCases.data,666.0,1071.0,0.0
Lee_Iowa_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lewis_Idaho_UnitedStates.NYT_ConfirmedCases.data,35.0,85.0,0.0
Lewis_Idaho_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lenoir_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data,1021.0,1450.0,0.0
Lenoir_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Letcher_Kentucky_UnitedStates.NYT_ConfirmedCases.data,167.0,315.0,0.0
Letcher_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Levy_Florida_UnitedStates.NYT_ConfirmedCases.data,1044.0,1151.0,0.0
Levy_Florida_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lenawee_Michigan_UnitedStates.NYT_ConfirmedCases.data,1572.0,1892.0,0.0
Lenawee_Michigan_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Leon_Texas_UnitedStates.NYT_ConfirmedCases.data,249.0,372.0,0.0
Leon_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lehigh_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data,5688.0,6541.0,0.0
Lehigh_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lemhi_Idaho_UnitedStates.NYT_ConfirmedCases.data,111.0,285.0,0.0
Lemhi_Idaho_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Leon_Florida_UnitedStates.NYT_ConfirmedCases.data,10644.0,11716.0,0.0
Leon_Florida_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Leslie_Kentucky_UnitedStates.NYT_ConfirmedCases.data,79.0,138.0,0.0
Leslie_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lexington_Virginia_UnitedStates.NYT_ConfirmedCases.data,106.0,253.0,0.0
Lexington_Virginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lewis_Tennessee_UnitedStates.NYT_ConfirmedCases.data,211.0,472.0,0.0
Lewis_Tennessee_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lewis_Kentucky_UnitedStates.NYT_ConfirmedCases.data,222.0,325.0,0.0
Lewis_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
LewisandClark_Montana_UnitedStates.NYT_ConfirmedCases.data,313.0,714.0,0.0
LewisandClark_Montana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lewis_Missouri_UnitedStates.NYT_ConfirmedCases.data,107.0,218.0,0.0
Lewis_Missouri_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lexington_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data,7464.0,8949.0,0.0
Lexington_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Liberty_Florida_UnitedStates.NYT_ConfirmedCases.data,517.0,539.0,0.0
Liberty_Florida_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lewis_WestVirginia_UnitedStates.NYT_ConfirmedCases.data,38.0,94.0,0.0
Lewis_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lewis_Washington_UnitedStates.NYT_ConfirmedCases.data,547.0,744.0,0.0
Lewis_Washington_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lewis_NewYork_UnitedStates.NYT_ConfirmedCases.data,50.0,120.0,0.0
Lewis_NewYork_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_Arkansas_UnitedStates.NYT_ConfirmedCases.data,2025.0,2306.0,0.0
Lincoln_Arkansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_Idaho_UnitedStates.NYT_ConfirmedCases.data,93.0,237.0,0.0
Lincoln_Idaho_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_Georgia_UnitedStates.NYT_ConfirmedCases.data,213.0,251.0,0.0
Lincoln_Georgia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_Colorado_UnitedStates.NYT_ConfirmedCases.data,11.0,25.0,0.0
Lincoln_Colorado_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Liberty_Texas_UnitedStates.NYT_ConfirmedCases.data,2260.0,2308.0,0.0
Liberty_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Licking_Ohio_UnitedStates.NYT_ConfirmedCases.data,1967.0,2905.0,0.0
Licking_Ohio_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Limestone_Texas_UnitedStates.NYT_ConfirmedCases.data,575.0,684.0,0.0
Limestone_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Liberty_Montana_UnitedStates.NYT_ConfirmedCases.data,20.0,34.0,0.0
Liberty_Montana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Liberty_Georgia_UnitedStates.NYT_ConfirmedCases.data,1125.0,1313.0,0.0
Liberty_Georgia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Limestone_Alabama_UnitedStates.NYT_ConfirmedCases.data,2157.0,2872.0,0.0
Limestone_Alabama_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_Minnesota_UnitedStates.NYT_ConfirmedCases.data,118.0,197.0,0.0
Lincoln_Minnesota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_Maine_UnitedStates.NYT_ConfirmedCases.data,47.0,60.0,0.0
Lincoln_Maine_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_Nevada_UnitedStates.NYT_ConfirmedCases.data,7.0,49.0,0.0
Lincoln_Nevada_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_Mississippi_UnitedStates.NYT_ConfirmedCases.data,1123.0,1433.0,0.0
Lincoln_Mississippi_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_Missouri_UnitedStates.NYT_ConfirmedCases.data,812.0,1269.0,0.0
Lincoln_Missouri_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_Louisiana_UnitedStates.NYT_ConfirmedCases.data,1353.0,1688.0,0.0
Lincoln_Louisiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_Nebraska_UnitedStates.NYT_ConfirmedCases.data,439.0,999.0,0.0
Lincoln_Nebraska_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_Montana_UnitedStates.NYT_ConfirmedCases.data,128.0,319.0,0.0
Lincoln_Montana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_Kansas_UnitedStates.NYT_ConfirmedCases.data,14.0,23.0,0.0
Lincoln_Kansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_Kentucky_UnitedStates.NYT_ConfirmedCases.data,210.0,354.0,0.0
Lincoln_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data,1687.0,2206.0,0.0
Lincoln_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_Oklahoma_UnitedStates.NYT_ConfirmedCases.data,476.0,812.0,0.0
Lincoln_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_SouthDakota_UnitedStates.NYT_ConfirmedCases.data,1408.0,2830.0,0.0
Lincoln_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Lincoln_WestVirginia_UnitedStates.NYT_ConfirmedCases.data,172.0,244.0,0.0
Lincoln_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
