,2020-09-01,2020-10-01,2020-11-01
Anderson_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Andrews_Texas_UnitedStates.NYT_ConfirmedCases.data,425.0,628.0,0.0
Andrews_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
AnneArundel_Maryland_UnitedStates.NYT_ConfirmedCases.data,10129.0,11884.0,0.0
AnneArundel_Maryland_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Anderson_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data,4556.0,5901.0,0.0
Anderson_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Anoka_Minnesota_UnitedStates.NYT_ConfirmedCases.data,6343.0,9812.0,0.0
Anoka_Minnesota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Angelina_Texas_UnitedStates.NYT_ConfirmedCases.data,2563.0,2922.0,0.0
Angelina_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Anson_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data,616.0,728.0,0.0
Anson_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Appomattox_Virginia_UnitedStates.NYT_ConfirmedCases.data,216.0,308.0,0.0
Appomattox_Virginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Appanoose_Iowa_UnitedStates.NYT_ConfirmedCases.data,144.0,276.0,0.0
Appanoose_Iowa_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Appling_Georgia_UnitedStates.NYT_ConfirmedCases.data,1040.0,1264.0,0.0
Appling_Georgia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Archer_Texas_UnitedStates.NYT_ConfirmedCases.data,87.0,165.0,0.0
Archer_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Antelope_Nebraska_UnitedStates.NYT_ConfirmedCases.data,80.0,171.0,0.0
Antelope_Nebraska_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Apache_Arizona_UnitedStates.NYT_ConfirmedCases.data,3554.0,4003.0,0.0
Apache_Arizona_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Aransas_Texas_UnitedStates.NYT_ConfirmedCases.data,323.0,349.0,0.0
Aransas_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
