,fips_code,county,state,c3_data_id
770,29065.0,Dent,Missouri,Dent_Missouri_UnitedStates
773,19057.0,DesMoines,Iowa,DesMoines_Iowa_UnitedStates
775,5041.0,Desha,Arkansas,Desha_Arkansas_UnitedStates
776,31049.0,Deuel,Nebraska,Deuel_Nebraska_UnitedStates
777,46039.0,Deuel,SouthDakota,Deuel_SouthDakota_UnitedStates
778,40043.0,Dewey,Oklahoma,Dewey_Oklahoma_UnitedStates
779,46041.0,Dewey,SouthDakota,Dewey_SouthDakota_UnitedStates
780,48125.0,Dickens,Texas,Dickens_Texas_UnitedStates
781,51051.0,Dickenson,Virginia,Dickenson_Virginia_UnitedStates
782,38021.0,Dickey,NorthDakota,Dickey_NorthDakota_UnitedStates
783,19059.0,Dickinson,Iowa,Dickinson_Iowa_UnitedStates
784,20041.0,Dickinson,Kansas,Dickinson_Kansas_UnitedStates
785,26043.0,Dickinson,Michigan,Dickinson_Michigan_UnitedStates
