fips_code,February,March,April,May,June,July,August,September,October,November
54091.0,0.0,0.0,6.0,8.0,16.0,52.0,105.0,129.0,172.0,199.0
54093.0,0.0,2.0,4.0,4.0,6.0,9.0,11.0,35.0,66.0,71.0
54095.0,0.0,0.0,3.0,3.0,4.0,12.0,15.0,16.0,48.0,105.0
54097.0,0.0,1.0,4.0,7.0,19.0,38.0,43.0,87.0,257.0,350.0
54099.0,0.0,0.0,85.0,99.0,111.0,179.0,248.0,406.0,580.0,778.0
54101.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,8.0,36.0,47.0
54103.0,0.0,1.0,3.0,8.0,10.0,41.0,45.0,58.0,95.0,314.0
54105.0,0.0,1.0,3.0,4.0,4.0,6.0,9.0,12.0,51.0,65.0
54107.0,0.0,2.0,38.0,53.0,86.0,231.0,308.0,375.0,580.0,1495.0
54109.0,0.0,0.0,1.0,3.0,7.0,21.0,67.0,119.0,187.0,495.0
55001.0,0.0,0.0,4.0,4.0,19.0,69.0,112.0,259.0,576.0,907.0
55003.0,0.0,1.0,2.0,2.0,3.0,15.0,34.0,127.0,300.0,519.0
55005.0,0.0,0.0,6.0,17.0,34.0,228.0,370.0,490.0,1281.0,2686.0
55007.0,0.0,2.0,3.0,3.0,3.0,18.0,45.0,115.0,266.0,542.0
55009.0,0.0,9.0,1057.0,2319.0,2873.0,3919.0,5376.0,9536.0,16115.0,20312.0
55011.0,0.0,1.0,4.0,6.0,7.0,41.0,64.0,143.0,330.0,579.0
55013.0,0.0,0.0,0.0,1.0,3.0,13.0,40.0,205.0,327.0,564.0
55015.0,0.0,1.0,13.0,76.0,108.0,236.0,502.0,1282.0,2818.0,3671.0
55017.0,0.0,8.0,22.0,56.0,84.0,208.0,347.0,585.0,1215.0,2838.0
55019.0,0.0,3.0,20.0,32.0,72.0,168.0,241.0,416.0,998.0,1691.0
55021.0,0.0,14.0,27.0,44.0,85.0,213.0,351.0,679.0,1908.0,2790.0
55023.0,0.0,0.0,3.0,26.0,33.0,56.0,102.0,179.0,328.0,651.0
55025.0,0.0,214.0,428.0,730.0,1873.0,4086.0,5429.0,10129.0,15839.0,21965.0
55027.0,0.0,10.0,33.0,221.0,459.0,655.0,1162.0,1959.0,4051.0,6843.0
55029.0,0.0,1.0,12.0,38.0,44.0,84.0,128.0,370.0,925.0,1450.0
55031.0,0.0,6.0,9.0,19.0,25.0,113.0,252.0,503.0,707.0,1304.0
55033.0,0.0,3.0,9.0,24.0,37.0,102.0,175.0,612.0,1039.0,1952.0
55035.0,0.0,11.0,28.0,108.0,229.0,474.0,801.0,2000.0,3442.0,5721.0
55037.0,0.0,0.0,2.0,2.0,3.0,7.0,25.0,98.0,221.0,285.0
