fips_code,covid_rate,social_score
6059.0,455.45454545454544,4.4
6061.0,570.0,4.422580645161291
6063.0,0.0,2.9903225806451603
6065.0,3710.0,4.590322580645162
6067.0,105.71428571428571,4.645161290322581
6069.0,7.142857142857142,3.76774193548387
6071.0,1250.0,4.558064516129033
6073.0,286.1904761904762,4.425806451612903
6075.0,3970.0,4.0677419354838715
6077.0,1360.0,4.890322580645161
6079.0,800.0,4.009677419354838
6081.0,3090.0,4.232258064516128
6083.0,880.0,3.9838709677419355
6085.0,286.1290322580645,4.180645161290323
6087.0,450.0,4.15483870967742
6089.0,60.0,4.312903225806451
6091.0,0.0,2.7741935483870956
6093.0,30.0,4.0
6095.0,430.0,4.683870967741936
6097.0,730.0,4.106451612903226
6099.0,330.0,4.761290322580645
6101.0,90.0,4.641935483870968
6103.0,0.0,4.058064516129032
6105.0,0.0,2.9580645161290318
6107.0,430.0,4.416129032258064
6109.0,20.0,3.8064516129032255
6111.0,1260.0,4.496774193548387
6113.0,240.0,4.65483870967742
6115.0,60.0,4.541935483870968
8001.0,1810.0,4.816129032258065
8003.0,10.0,3.935483870967741
8005.0,3330.0,4.612903225806452
8007.0,10.0,2.8258064516129022
8009.0,30.0,3.2225806451612886
8011.0,0.0,3.2419354838709658
8013.0,1070.0,4.229032258064516
8014.0,200.0,4.348387096774194
8015.0,170.0,2.8580645161290317
8017.0,0.0,3.209677419354837
8019.0,40.0,3.180645161290323
8021.0,0.0,3.222580645161289
8023.0,30.0,3.1387096774193535
8025.0,10.0,3.0354838709677403
8027.0,0.0,2.829032258064515
8029.0,10.0,3.845161290322581
8031.0,5390.0,4.387096774193548
8033.0,0.0,4.033424505910899
8035.0,1410.0,4.380645161290323
8037.0,2270.0,3.4354838709677424
8039.0,50.0,3.6838709677419357
8041.0,2860.0,4.65483870967742
8043.0,20.0,3.9741935483870954
8045.0,330.0,3.729032258064516
8047.0,0.0,3.509677419354839
8049.0,40.0,2.919354838709677
8051.0,820.0,2.6967741935483867
