fips_code,February,March,April,May,June,July,August,September,October,November
28061.0,0.0,0.0,42.0,121.0,82.0,123.0,113.0,103.0,90.0,77.0
28063.0,0.0,1.0,17.0,24.0,42.0,104.0,33.0,22.0,44.0,11.0
28065.0,0.0,0.0,32.0,45.0,26.0,88.0,112.0,44.0,53.0,86.0
28067.0,0.0,6.0,137.0,486.0,432.0,644.0,454.0,368.0,434.0,273.0
28069.0,0.0,1.0,56.0,87.0,30.0,49.0,47.0,21.0,45.0,4.0
28071.0,0.0,15.0,74.0,47.0,203.0,498.0,599.0,776.0,228.0,377.0
28073.0,0.0,5.0,98.0,135.0,169.0,673.0,357.0,325.0,618.0,187.0
28075.0,0.0,35.0,314.0,389.0,141.0,437.0,440.0,322.0,320.0,619.0
28077.0,0.0,5.0,40.0,57.0,52.0,146.0,102.0,37.0,65.0,129.0
28079.0,0.0,5.0,199.0,223.0,120.0,208.0,123.0,87.0,193.0,52.0
28081.0,0.0,24.0,45.0,84.0,324.0,685.0,1015.0,758.0,799.0,635.0
28083.0,0.0,19.0,129.0,116.0,205.0,345.0,421.0,203.0,323.0,93.0
28085.0,0.0,11.0,130.0,122.0,171.0,296.0,241.0,152.0,306.0,177.0
28087.0,0.0,11.0,43.0,157.0,233.0,497.0,344.0,323.0,231.0,275.0
28089.0,0.0,42.0,187.0,495.0,482.0,1044.0,721.0,370.0,502.0,439.0
28091.0,0.0,5.0,67.0,43.0,125.0,341.0,200.0,94.0,101.0,59.0
28093.0,0.0,14.0,29.0,40.0,113.0,340.0,409.0,173.0,426.0,338.0
28095.0,0.0,6.0,151.0,100.0,98.0,320.0,362.0,216.0,318.0,119.0
28097.0,0.0,7.0,21.0,57.0,31.0,160.0,134.0,60.0,105.0,88.0
28099.0,0.0,4.0,183.0,459.0,306.0,234.0,244.0,169.0,221.0,199.0
28101.0,0.0,2.0,79.0,190.0,57.0,186.0,151.0,116.0,68.0,116.0
28103.0,0.0,3.0,63.0,120.0,59.0,166.0,108.0,39.0,48.0,40.0
28105.0,0.0,17.0,34.0,188.0,244.0,556.0,400.0,380.0,218.0,111.0
28107.0,0.0,7.0,32.0,32.0,183.0,623.0,417.0,222.0,190.0,234.0
28109.0,0.0,30.0,133.0,46.0,30.0,232.0,280.0,163.0,285.0,111.0
28111.0,0.0,3.0,24.0,23.0,9.0,150.0,85.0,138.0,52.0,108.0
28113.0,0.0,17.0,131.0,55.0,153.0,452.0,324.0,117.0,167.0,87.0
28115.0,0.0,5.0,13.0,17.0,196.0,468.0,360.0,242.0,246.0,232.0
28117.0,0.0,4.0,28.0,21.0,44.0,221.0,306.0,260.0,229.0,166.0
28119.0,0.0,3.0,11.0,19.0,34.0,144.0,111.0,68.0,31.0,17.0
28121.0,0.0,40.0,146.0,253.0,377.0,1275.0,759.0,522.0,816.0,556.0
28123.0,0.0,10.0,306.0,334.0,92.0,205.0,146.0,87.0,118.0,82.0
28125.0,0.0,1.0,4.0,2.0,17.0,115.0,112.0,16.0,20.0,7.0
28127.0,0.0,2.0,44.0,55.0,117.0,478.0,242.0,120.0,137.0,128.0
28129.0,0.0,1.0,73.0,78.0,52.0,163.0,100.0,84.0,47.0,60.0
28131.0,0.0,0.0,22.0,8.0,21.0,93.0,172.0,64.0,127.0,114.0
28133.0,0.0,11.0,42.0,31.0,196.0,613.0,367.0,231.0,149.0,144.0
28135.0,0.0,2.0,9.0,16.0,67.0,305.0,231.0,153.0,42.0,90.0
28137.0,0.0,11.0,30.0,53.0,151.0,376.0,235.0,163.0,246.0,239.0
28139.0,0.0,26.0,28.0,19.0,48.0,164.0,263.0,157.0,269.0,135.0
28141.0,0.0,1.0,6.0,25.0,33.0,234.0,257.0,154.0,129.0,146.0
28143.0,0.0,12.0,23.0,20.0,34.0,139.0,222.0,50.0,36.0,36.0
28145.0,0.0,3.0,14.0,66.0,89.0,331.0,378.0,131.0,185.0,255.0
28147.0,0.0,5.0,26.0,25.0,113.0,256.0,139.0,40.0,29.0,72.0
28149.0,0.0,1.0,67.0,105.0,252.0,521.0,368.0,104.0,158.0,58.0
28151.0,0.0,20.0,57.0,101.0,287.0,954.0,570.0,289.0,325.0,270.0
28153.0,0.0,0.0,23.0,181.0,311.0,214.0,118.0,68.0,79.0,111.0
28155.0,0.0,5.0,13.0,51.0,54.0,58.0,123.0,35.0,39.0,20.0
28157.0,0.0,14.0,55.0,19.0,1.0,89.0,99.0,31.0,30.0,22.0
28159.0,0.0,7.0,35.0,75.0,123.0,320.0,135.0,51.0,80.0,179.0
28161.0,0.0,6.0,13.0,74.0,59.0,156.0,57.0,79.0,131.0,54.0
28163.0,0.0,9.0,126.0,146.0,186.0,290.0,197.0,113.0,160.0,186.0
29001.0,0.0,2.0,10.0,43.0,35.0,42.0,97.0,121.0,169.0,298.0
29003.0,0.0,0.0,2.0,28.0,19.0,32.0,45.0,133.0,147.0,211.0
29005.0,0.0,1.0,1.0,1.0,0.0,8.0,17.0,26.0,19.0,73.0
29007.0,0.0,0.0,1.0,81.0,56.0,54.0,76.0,179.0,139.0,263.0
29009.0,0.0,1.0,5.0,3.0,34.0,175.0,137.0,139.0,241.0,455.0
29011.0,0.0,0.0,0.0,0.0,21.0,44.0,38.0,89.0,257.0,106.0
29013.0,0.0,1.0,5.0,1.0,5.0,24.0,41.0,49.0,141.0,116.0
29015.0,0.0,2.0,6.0,3.0,6.0,54.0,85.0,179.0,163.0,176.0
29017.0,0.0,1.0,3.0,2.0,6.0,44.0,73.0,226.0,86.0,250.0
29019.0,0.0,64.0,36.0,52.0,161.0,839.0,1466.0,2109.0,1003.0,2920.0
29021.0,0.0,5.0,82.0,605.0,146.0,216.0,246.0,726.0,1046.0,735.0
29023.0,0.0,0.0,26.0,9.0,40.0,161.0,140.0,283.0,529.0,312.0
29025.0,0.0,0.0,3.0,2.0,4.0,21.0,12.0,58.0,62.0,125.0
29027.0,0.0,14.0,8.0,7.0,15.0,74.0,214.0,340.0,788.0,793.0
29029.0,0.0,12.0,23.0,3.0,22.0,225.0,243.0,495.0,469.0,585.0
29031.0,0.0,15.0,34.0,24.0,68.0,453.0,374.0,839.0,792.0,1362.0
29033.0,0.0,0.0,3.0,5.0,3.0,84.0,17.0,20.0,63.0,121.0
29035.0,0.0,4.0,-1.0,2.0,1.0,12.0,19.0,70.0,50.0,74.0
29037.0,0.0,14.0,48.0,28.0,35.0,496.0,454.0,452.0,661.0,723.0
29039.0,0.0,5.0,0.0,4.0,0.0,25.0,17.0,70.0,98.0,141.0
29041.0,0.0,4.0,1.0,1.0,0.0,8.0,14.0,20.0,12.0,117.0
29043.0,0.0,12.0,7.0,4.0,17.0,225.0,410.0,797.0,827.0,815.0
29045.0,0.0,0.0,1.0,0.0,1.0,9.0,32.0,22.0,48.0,111.0
29047.0,0.0,16.0,54.0,103.0,241.0,468.0,499.0,446.0,709.0,1116.0
29049.0,0.0,4.0,7.0,7.0,5.0,38.0,66.0,117.0,296.0,195.0
29051.0,0.0,25.0,26.0,9.0,12.0,216.0,558.0,738.0,1726.0,1613.0
29053.0,0.0,2.0,5.0,2.0,5.0,72.0,146.0,202.0,179.0,375.0
29055.0,0.0,1.0,7.0,1.0,2.0,36.0,139.0,221.0,232.0,322.0
29057.0,0.0,0.0,0.0,0.0,1.0,13.0,16.0,40.0,79.0,87.0
29059.0,0.0,0.0,2.0,1.0,9.0,35.0,62.0,85.0,205.0,84.0
29061.0,0.0,0.0,2.0,2.0,4.0,9.0,9.0,97.0,99.0,65.0
29063.0,0.0,0.0,3.0,3.0,5.0,21.0,33.0,71.0,123.0,148.0
29065.0,0.0,0.0,0.0,0.0,3.0,6.0,30.0,111.0,123.0,103.0
29067.0,0.0,0.0,0.0,0.0,3.0,65.0,44.0,96.0,94.0,54.0
29069.0,0.0,6.0,15.0,17.0,54.0,147.0,252.0,309.0,330.0,333.0
29071.0,0.0,13.0,101.0,25.0,65.0,305.0,516.0,732.0,1122.0,957.0
29073.0,0.0,0.0,2.0,0.0,9.0,8.0,76.0,71.0,115.0,90.0
29075.0,0.0,0.0,1.0,30.0,26.0,22.0,14.0,32.0,49.0,59.0
29077.0,0.0,48.0,48.0,55.0,114.0,917.0,1976.0,3240.0,3176.0,2080.0
29079.0,0.0,0.0,0.0,0.0,18.0,6.0,25.0,146.0,87.0,123.0
29081.0,0.0,1.0,5.0,3.0,4.0,46.0,14.0,42.0,64.0,124.0
29083.0,0.0,1.0,7.0,4.0,7.0,50.0,46.0,90.0,231.0,355.0
29085.0,0.0,0.0,0.0,0.0,0.0,16.0,48.0,45.0,145.0,73.0
29087.0,0.0,0.0,1.0,1.0,-1.0,5.0,56.0,17.0,37.0,51.0
29089.0,0.0,0.0,2.0,1.0,2.0,38.0,75.0,58.0,89.0,122.0
29091.0,0.0,0.0,5.0,2.0,29.0,91.0,137.0,370.0,539.0,265.0
29093.0,0.0,0.0,2.0,0.0,1.0,9.0,37.0,7.0,42.0,68.0
29095.0,0.0,77.0,238.0,281.0,530.0,2194.0,2201.0,2067.0,2892.0,1690.0
29097.0,0.0,7.0,17.0,13.0,410.0,1179.0,727.0,1477.0,1693.0,1472.0
