fips_code,county,state,c3_data_id
5057.0,Hempstead,Arkansas,Hempstead_Arkansas_UnitedStates
5059.0,Hot Spring,Arkansas,HotSpring_Arkansas_UnitedStates
5061.0,Howard,Arkansas,Howard_Arkansas_UnitedStates
5063.0,Independence,Arkansas,Independence_Arkansas_UnitedStates
5065.0,Izard,Arkansas,Izard_Arkansas_UnitedStates
5067.0,Jackson,Arkansas,Jackson_Arkansas_UnitedStates
5069.0,Jefferson,Arkansas,Jefferson_Arkansas_UnitedStates
5071.0,Johnson,Arkansas,Johnson_Arkansas_UnitedStates
5073.0,Lafayette,Arkansas,Lafayette_Arkansas_UnitedStates
5075.0,Lawrence,Arkansas,Lawrence_Arkansas_UnitedStates
5077.0,Lee,Arkansas,Lee_Arkansas_UnitedStates
5079.0,Lincoln,Arkansas,Lincoln_Arkansas_UnitedStates
5081.0,Little River,Arkansas,LittleRiver_Arkansas_UnitedStates
5083.0,Logan,Arkansas,Logan_Arkansas_UnitedStates
5085.0,Lonoke,Arkansas,Lonoke_Arkansas_UnitedStates
5087.0,Madison,Arkansas,Madison_Arkansas_UnitedStates
5089.0,Marion,Arkansas,Marion_Arkansas_UnitedStates
5091.0,Miller,Arkansas,Miller_Arkansas_UnitedStates
5093.0,Mississippi,Arkansas,Mississippi_Arkansas_UnitedStates
5095.0,Monroe,Arkansas,Monroe_Arkansas_UnitedStates
5097.0,Montgomery,Arkansas,Montgomery_Arkansas_UnitedStates
5099.0,Nevada,Arkansas,Nevada_Arkansas_UnitedStates
5101.0,Newton,Arkansas,Newton_Arkansas_UnitedStates
5103.0,Ouachita,Arkansas,Ouachita_Arkansas_UnitedStates
5105.0,Perry,Arkansas,Perry_Arkansas_UnitedStates
5107.0,Phillips,Arkansas,Phillips_Arkansas_UnitedStates
5109.0,Pike,Arkansas,Pike_Arkansas_UnitedStates
5111.0,Poinsett,Arkansas,Poinsett_Arkansas_UnitedStates
5113.0,Polk,Arkansas,Polk_Arkansas_UnitedStates
5115.0,Pope,Arkansas,Pope_Arkansas_UnitedStates
5117.0,Prairie,Arkansas,Prairie_Arkansas_UnitedStates
5119.0,Pulaski,Arkansas,Pulaski_Arkansas_UnitedStates
5121.0,Randolph,Arkansas,Randolph_Arkansas_UnitedStates
5123.0,St. Francis,Arkansas,St.Francis_Arkansas_UnitedStates
5125.0,Saline,Arkansas,Saline_Arkansas_UnitedStates
5127.0,Scott,Arkansas,Scott_Arkansas_UnitedStates
5129.0,Searcy,Arkansas,Searcy_Arkansas_UnitedStates
5131.0,Sebastian,Arkansas,Sebastian_Arkansas_UnitedStates
5133.0,Sevier,Arkansas,Sevier_Arkansas_UnitedStates
5135.0,Sharp,Arkansas,Sharp_Arkansas_UnitedStates
5137.0,Stone,Arkansas,Stone_Arkansas_UnitedStates
5139.0,Union,Arkansas,Union_Arkansas_UnitedStates
5141.0,Van Buren,Arkansas,VanBuren_Arkansas_UnitedStates
5143.0,Washington,Arkansas,Washington_Arkansas_UnitedStates
5145.0,White,Arkansas,White_Arkansas_UnitedStates
5147.0,Woodruff,Arkansas,Woodruff_Arkansas_UnitedStates
5149.0,Yell,Arkansas,Yell_Arkansas_UnitedStates
6001.0,Alameda,California,Alameda_California_UnitedStates
6003.0,Alpine,California,Alpine_California_UnitedStates
6005.0,Amador,California,Amador_California_UnitedStates
6007.0,Butte,California,Butte_California_UnitedStates
6009.0,Calaveras,California,Calaveras_California_UnitedStates
6011.0,Colusa,California,Colusa_California_UnitedStates
6013.0,Contra Costa,California,ContraCosta_California_UnitedStates
6015.0,Del Norte,California,DelNorte_California_UnitedStates
6017.0,El Dorado,California,ElDorado_California_UnitedStates
6019.0,Fresno,California,Fresno_California_UnitedStates
6021.0,Glenn,California,Glenn_California_UnitedStates
6023.0,Humboldt,California,Humboldt_California_UnitedStates
6025.0,Imperial,California,Imperial_California_UnitedStates
6027.0,Inyo,California,Inyo_California_UnitedStates
